OBJECTID,LONGITUDE,LATITUDE
3401956,143.9204,-37.55964
3401957,142.42082,-38.20908
3401958,142.85536,-38.28626
3401959,143.58441,-38.3494
3401960,144.97155,-37.77237
3401961,144.52582,-37.33781
3401962,144.47217,-37.25758
3401963,145.93945,-38.16142
3401964,145.09561,-37.85039
3401965,144.96179,-37.76903
3401966,145.26088,-38.02898
3401967,144.17784,-38.04509
3401968,145.24372,-37.81082
3401969,144.94183,-37.82555
3401970,145.16636,-37.87686
3401971,144.8472,-37.83742
3401972,145.08689,-37.46076
3401973,145.46147,-38.50013
3401974,145.27313,-37.90466
3401975,144.8957,-37.75181
3401976,145.43188,-35.92545
3401977,145.23644,-37.9107
3401978,145.02909,-37.8055
3401979,145.51329,-37.66259
3401980,144.60615,-37.0382
3401981,145.22411,-38.20946
3401982,145.03771,-37.91832
3401983,143.82355,-37.53222
3401984,145.29454,-38.07881
3401985,145.09073,-37.9697
3401986,143.58108,-38.34147
3401987,145.06668,-37.97673
3401988,144.9253,-37.76842
3401989,145.06372,-37.44271
3401990,144.92296,-37.78918
3401991,145.32749,-38.10314
3401992,144.58575,-37.68301
3401993,145.06968,-37.96711
3401994,145.13403,-38.12415
3401995,147.26383,-37.5377
3401996,147.84067,-37.87477
3401997,145.71989,-38.37476
3401998,144.77417,-37.77801
3401999,144.96068,-37.81496
3402000,147.87042,-37.82299
3402001,144.74588,-37.87674
3402002,145.17905,-37.95324
3402003,145.28121,-37.79445
3402004,145.01735,-37.67324
3402005,145.64954,-37.30403
3402006,144.93117,-37.82262
3402007,145.16967,-37.91628
3402008,143.83663,-37.57275
3402009,145.1884,-37.93192
3402010,145.18827,-37.83645
3402011,143.85216,-37.5678
3402012,145.08938,-37.887
3402013,144.80404,-37.81486
3402014,142.90031,-38.19719
3402015,145.0011,-37.75556
3402016,141.24103,-36.37897
3402017,144.97297,-37.80924
3402018,144.96458,-37.85569
3402019,145.1456,-38.33882
3402020,144.86237,-37.7703
3402021,143.46266,-38.6536
3402022,144.94761,-37.83453
3402023,145.17221,-37.99098
3402024,144.37017,-38.22333
3402025,147.06762,-38.1173
3402026,145.05435,-37.97246
3402027,144.99125,-37.86343
3402028,145.84856,-38.13137
3402029,146.04364,-37.0445
3402030,145.31278,-37.75561
3402031,144.95168,-37.64671
3402032,145.25404,-37.79788
3402033,144.40751,-38.17176
3402034,145.06449,-37.87021
3402035,145.45527,-38.06193
3402036,144.76909,-37.71179
3402037,143.80213,-36.75777
3402038,144.99361,-37.79598
3402039,145.16259,-37.8818
3402040,144.80846,-37.8161
3402041,144.98622,-37.86571
3402042,145.00124,-37.75964
3402043,144.93268,-37.79473
3402044,143.85695,-37.51392
3402045,144.73704,-37.74033
3402046,145.18476,-37.97949
3402047,143.6274,-38.32491
3402048,144.28611,-36.76384
3402049,144.93853,-37.70497
3402050,143.87035,-37.56205
3402051,141.07385,-35.86776
3402052,144.91648,-37.75696
3402053,144.86894,-37.78287
3402054,143.74557,-36.04164
3402055,145.1271,-37.9144
3402056,146.88692,-36.13138
3402057,144.99804,-37.88391
3402058,145.12614,-38.14205
3402059,144.34839,-38.07292
3402060,145.18762,-38.33879
3402061,145.23371,-38.10652
3402062,144.9185,-37.73297
3402063,144.96144,-37.77107
3402064,145.22875,-37.84791
3402065,146.82162,-36.24789
3402066,145.01003,-37.70292
3402067,145.25306,-38.00377
3402068,143.92762,-37.56203
3402069,144.78122,-37.69723
3402070,144.77354,-37.77814
3402071,144.96709,-37.73807
3402072,144.36447,-38.15765
3402073,144.9692,-37.80914
3402074,144.9726,-37.81149
3402075,144.16515,-37.33513
3402076,143.82998,-37.54013
3402077,145.93124,-38.16259
3402078,145.10701,-37.9717
3402079,144.87481,-37.80822
3402080,142.20226,-36.71176
3402081,145.17749,-37.85597
3402082,145.04763,-37.87813
3402083,145.0916,-37.87543
3402084,142.13161,-36.71359
3402085,145.19662,-37.96314
3402086,145.25533,-38.09461
3402087,145.37742,-37.75237
3402088,145.23749,-37.81102
3402089,144.52799,-37.36409
3402090,144.6441,-36.18232
3402091,144.94036,-37.78761
3402092,143.63644,-38.25249
3402093,144.95219,-37.82185
3402094,145.00973,-37.78186
3402095,144.92916,-37.80309
3402096,145.06657,-37.75944
3402097,145.05619,-37.91744
3402098,145.02876,-37.80887
3402099,145.11331,-37.85938
3402100,145.12036,-37.92188
3402101,142.95555,-38.47887
3402102,144.73884,-37.72004
3402103,145.025,-37.73227
3402104,145.33393,-37.87057
3402105,145.0438,-37.80836
3402106,144.86211,-37.79955
3402107,145.12601,-37.78731
3402108,144.57044,-37.67303
3402109,145.26158,-37.98763
3402110,144.96036,-37.6636
3402111,144.94051,-37.78783
3402112,144.80087,-37.70872
3402113,144.97682,-37.80811
3402114,145.19495,-37.83609
3402115,145.14056,-37.80914
3402116,145.2135,-37.86198
3402117,144.97556,-37.81006
3402118,145.17115,-37.91817
3402119,145.26665,-37.83245
3402120,144.86045,-37.70613
3402121,142.88256,-37.18492
3402122,145.65116,-37.15254
3402123,145.29321,-37.89514
3402124,143.86151,-37.54174
3402125,145.0218,-37.74718
3402126,144.78904,-37.84263
3402127,145.02735,-37.77298
3402128,145.15234,-37.95194
3402129,145.40358,-37.87254
3402130,145.02137,-37.63959
3402131,145.21543,-37.87692
3402132,144.7036,-36.75195
3402133,145.29943,-38.06377
3402134,144.20741,-37.5982
3402135,144.8796,-37.59001
3402136,143.58219,-37.4648
3402137,143.85827,-37.56715
3402138,144.83081,-37.7659
3402139,144.96068,-37.81496
3402140,145.22835,-38.00679
3402141,144.98668,-37.85099
3402142,144.8806,-37.80514
3402143,145.12385,-38.19378
3402144,144.8312,-37.71306
3402145,145.22095,-37.95657
3402146,145.05892,-37.86004
3402147,146.04745,-36.01679
3402148,142.1343,-34.20015
3402149,145.08634,-37.97342
3402150,145.01227,-37.76463
3402151,145.31101,-37.78504
3402152,146.27927,-37.44603
3402153,145.39633,-37.87845
3402154,142.66936,-36.99442
3402155,144.94243,-37.78961
3402156,144.96902,-37.79732
3402157,144.90431,-37.79488
3402158,144.99933,-37.67857
3402159,143.85892,-37.56194
3402160,144.78988,-37.72764
3402161,145.2074,-38.00196
3402162,143.87713,-37.56064
3402163,145.09922,-37.85063
3402164,145.01145,-37.86394
3402165,143.12453,-37.02903
3402166,144.83372,-37.71403
3402167,146.28611,-36.32196
3402168,145.04176,-38.25707
3402169,144.93848,-37.70496
3402170,145.13948,-38.17373
3402171,144.96109,-37.8193
3402172,144.26485,-36.71208
3402173,145.56691,-37.64704
3402174,145.49885,-37.63712
3402175,144.33444,-38.14525
3402176,145.16119,-38.10925
3402177,145.22728,-37.95067
3402178,144.90223,-37.7413
3402179,144.35731,-38.14861
3402180,142.42395,-36.85606
3402181,145.19815,-37.94399
3402182,144.75699,-37.86915
3402183,142.00935,-37.75768
3402184,146.72397,-36.56085
3402185,145.1722,-37.96488
3402186,146.49817,-38.17674
3402187,144.84975,-37.72539
3402188,145.3948,-37.73814
3402189,145.10971,-37.83751
3402190,145.00087,-37.8092
3402191,146.74771,-38.39229
3402192,145.14729,-37.79946
3402193,144.96898,-37.82571
3402194,145.03421,-37.82874
3402195,142.01748,-34.21575
3402196,147.63574,-37.82565
3402197,145.01382,-37.9304
3402198,145.17102,-38.10124
3402199,145.40387,-37.91893
3402200,144.72277,-37.57111
3402201,144.93952,-37.64197
3402202,144.97877,-37.79657
3402203,144.77793,-37.75114
3402204,142.46729,-38.30006
3402205,145.26493,-38.02778
3402206,145.04452,-37.82524
3402207,144.99009,-37.81688
3402208,145.08429,-38.19921
3402209,144.88426,-37.7134
3402210,145.04613,-37.88727
3402211,144.24806,-36.76419
3402212,146.40669,-38.16136
3402213,145.26645,-37.96731
3402214,145.91871,-38.04236
3402215,144.96113,-37.81594
3402216,146.28994,-38.18384
3402217,144.99717,-37.81021
3402218,143.84322,-37.57764
3402219,146.72736,-36.55683
3402220,144.98799,-37.91889
3402221,145.07648,-37.95472
3402222,145.07971,-37.86343
3402223,147.13484,-36.22312
3402224,144.91954,-37.63023
3402225,144.18472,-37.54942
3402226,144.9545,-37.71837
3402227,146.87684,-36.12313
3402228,144.77433,-37.70179
3402229,144.36124,-38.19623
3402230,144.95382,-37.65828
3402231,145.16283,-37.90362
3402232,145.05173,-37.75331
3402233,145.07654,-37.81227
3402234,144.38409,-38.1681
3402235,144.69146,-37.8318
3402236,145.42437,-36.38613
3402237,145.31156,-37.7823
3402238,145.00228,-37.94582
3402239,145.00873,-37.90637
3402240,144.39144,-38.17063
3402241,145.00813,-37.87817
3402242,145.05048,-37.77316
3402243,145.21644,-37.98707
3402244,144.94907,-37.68614
3402245,144.99201,-37.74409
3402246,145.34707,-38.0289
3402247,145.14359,-37.9247
3402248,144.91007,-37.69384
3402249,144.97259,-37.76656
3402250,145.15627,-37.8839
3402251,144.72247,-37.9264
3402252,144.38313,-38.17602
3402253,147.66716,-36.22394
3402254,146.41717,-38.21674
3402255,144.9512,-37.7966
3402256,144.95006,-37.28948
3402257,145.03049,-37.66082
3402258,145.11029,-37.82653
3402259,144.56755,-37.68758
3402260,144.99933,-37.81771
3402261,145.18231,-37.96608
3402262,144.51306,-38.2106
3402263,145.17586,-37.81954
3402264,142.16617,-34.19393
3402265,145.03392,-37.87065
3402266,144.97935,-37.79312
3402267,145.42155,-36.82502
3402268,145.11981,-37.97331
3402269,142.33045,-38.14108
3402270,145.14248,-37.02809
3402271,144.95008,-37.8224
3402272,144.24614,-38.2118
3402273,145.00739,-37.93175
3402274,149.32866,-37.56473
3402275,144.99921,-37.78587
3402276,145.1426,-37.79324
3402277,145.31693,-37.81902
3402278,145.29979,-37.17058
3402279,145.21747,-38.00393
3402280,145.01162,-37.83637
3402281,142.86479,-38.38855
3402282,144.33897,-37.33067
3402283,145.17728,-37.81008
3402284,145.01156,-37.85431
3402285,144.97718,-37.80593
3402286,145.94995,-36.0078
3402287,145.02254,-37.82112
3402288,145.41572,-36.3691
3402289,144.97697,-37.80719
3402290,144.82039,-37.77616
3402291,144.50603,-37.62372
3402292,144.97709,-37.77895
3402293,144.83209,-37.75038
3402294,145.10335,-37.93631
3402295,144.97534,-37.86098
3402296,145.19806,-37.7496
3402297,144.92731,-37.68536
3402298,143.68199,-37.88431
3402299,145.15409,-36.78504
3402300,145.12372,-38.07616
3402301,145.28551,-37.86444
3402302,145.22024,-37.59165
3402303,145.16928,-37.85474
3402304,145.13332,-37.91527
3402305,144.15391,-38.36393
3402306,145.02371,-37.65188
3402307,144.99648,-37.85228
3402308,144.30487,-36.73146
3402309,144.833,-37.7532
3402310,144.34636,-38.17164
3402311,145.22049,-37.81867
3402312,145.26504,-37.84127
3402313,145.1779,-37.80569
3402314,144.87015,-37.83356
3402315,144.66614,-37.9043
3402316,144.83289,-37.79621
3402317,143.86191,-37.53967
3402318,141.70294,-35.16905
3402319,144.96458,-37.85569
3402320,144.77653,-37.84656
3402321,144.92088,-37.77224
3402322,143.82192,-37.54075
3402323,144.68721,-37.85381
3402324,145.12684,-37.89257
3402325,144.97528,-37.86635
3402326,144.85675,-37.73018
3402327,146.24017,-36.33847
3402328,145.10189,-37.71319
3402329,144.82871,-37.77715
3402330,145.06708,-37.76575
3402331,144.97945,-37.80598
3402332,145.05892,-37.86004
3402333,144.78198,-37.72784
3402334,144.83042,-37.76799
3402335,145.04071,-37.77274
3402336,145.03368,-37.82389
3402337,143.84691,-37.57693
3402338,144.92827,-37.63057
3402339,144.34132,-38.14607
3402340,144.77797,-37.75094
3402341,145.00401,-37.73797
3402342,147.02646,-36.25147
3402343,142.84726,-35.4772
3402344,143.85632,-37.56162
3402345,145.05789,-37.68611
3402346,144.99047,-37.77206
3402347,144.96811,-37.79392
3402348,144.13122,-38.259
3402349,145.11228,-37.83228
3402350,145.04555,-37.97892
3402351,145.29657,-37.77158
3402352,144.90916,-37.63811
3402353,144.28035,-37.54847
3402354,144.94235,-37.70014
3402355,144.33557,-38.14472
3402356,146.55218,-38.19431
3402357,144.95516,-37.32221
3402358,144.99907,-37.73992
3402359,143.82022,-37.54972
3402360,145.15364,-37.95002
3402361,144.93322,-37.80403
3402362,144.92196,-37.65284
3402363,145.05132,-37.85939
3402364,145.03707,-37.82909
3402365,145.03732,-38.26484
3402366,145.29614,-38.08184
3402367,145.10393,-37.57526
3402368,145.12267,-37.82425
3402369,147.60589,-37.83199
3402370,144.27105,-36.71917
3402371,146.00461,-36.0177
3402372,145.51685,-37.65406
3402373,144.35263,-38.14741
3402374,145.22403,-37.99983
3402375,144.77771,-37.88839
3402376,146.4295,-38.29103
3402377,145.10072,-37.78606
3402378,145.19205,-37.96482
3402379,144.94844,-37.82896
3402380,145.06368,-37.83216
3402381,144.3371,-38.13698
3402382,146.42434,-38.23644
3402383,145.29552,-36.37551
3402384,145.17044,-37.84856
3402385,144.74421,-37.71053
3402386,144.28437,-36.76229
3402387,145.21761,-37.82581
3402388,144.91626,-37.69437
3402389,145.1492,-38.19414
3402390,145.78404,-38.10717
3402391,145.17346,-37.98351
3402392,144.78122,-37.69723
3402393,144.93912,-37.786
3402394,145.50985,-37.81119
3402395,144.96874,-37.80816
3402396,145.10766,-37.94187
3402397,145.05257,-37.93514
3402398,143.91892,-35.73504
3402399,146.40897,-37.95702
3402400,144.99708,-37.83041
3402401,144.70556,-37.85486
3402402,143.02588,-37.27646
3402403,146.45925,-36.32903
3402404,145.04272,-37.85044
3402405,145.07978,-37.8211
3402406,144.63797,-37.89633
3402407,145.00898,-37.86863
3402408,145.02976,-37.79198
3402409,145.019,-37.83101
3402410,144.90591,-37.58892
3402411,144.929,-37.64379
3402412,145.11512,-37.7141
3402413,144.54688,-37.47888
3402414,145.28529,-37.86825
3402415,145.02588,-37.88036
3402416,145.15475,-38.05305
3402417,145.12445,-37.78428
3402418,144.92573,-37.75379
3402419,145.18626,-37.9306
3402420,144.8984,-37.68627
3402421,144.91614,-37.72519
3402422,144.99921,-37.92557
3402423,145.09097,-37.88323
3402424,143.68229,-37.64833
3402425,142.14075,-34.22777
3402426,145.04269,-37.87479
3402427,145.13062,-37.8189
3402428,144.31616,-36.70516
3402429,144.33694,-38.13777
3402430,145.08524,-37.89233
3402431,145.19105,-38.24973
3402432,145.59171,-38.59433
3402433,144.54192,-38.22608
3402434,145.39923,-38.14297
3402435,144.95111,-37.81994
3402436,145.02615,-37.77324
3402437,145.16327,-37.87834
3402438,144.82261,-37.7809
3402439,144.83069,-37.7884
3402440,145.14662,-37.91049
3402441,144.95681,-37.7332
3402442,145.1945,-38.0722
3402443,145.08147,-37.82406
3402444,143.92582,-37.71097
3402445,145.21152,-37.98236
3402446,145.6415,-35.91759
3402447,144.92878,-37.64055
3402448,147.05776,-36.41325
3402449,144.92172,-37.78561
3402450,144.89777,-37.76963
3402451,144.68338,-37.87442
3402452,144.85632,-37.83207
3402453,145.09529,-37.81452
3402454,145.30096,-38.08522
3402455,144.97615,-37.82309
3402456,145.35715,-36.39163
3402457,144.73119,-36.15517
3402458,145.1209,-37.91906
3402459,144.91173,-37.75857
3402460,144.15878,-36.80968
3402461,145.13647,-38.02222
3402462,145.02848,-37.68748
3402463,145.07027,-37.67552
3402464,145.15393,-37.81893
3402465,144.96248,-37.8189
3402466,143.86365,-36.88702
3402467,144.94044,-37.64661
3402468,145.11626,-38.3632
3402469,144.95395,-37.65912
3402470,146.40847,-38.60433
3402471,144.97253,-37.09611
3402472,144.89509,-38.35843
3402473,145.03006,-37.88088
3402474,145.95385,-38.1684
3402475,144.90888,-38.36367
3402476,145.02824,-37.86301
3402477,145.07625,-37.83363
3402478,144.90022,-37.53503
3402479,144.96002,-37.81961
3402480,141.85576,-35.36914
3402481,145.08071,-37.76006
3402482,145.13391,-37.75961
3402483,144.92598,-37.69035
3402484,144.9008,-37.79028
3402485,144.34773,-38.07637
3402486,144.96182,-37.76886
3402487,145.00694,-37.74943
3402488,144.67225,-37.88016
3402489,145.06435,-37.64582
3402490,145.13595,-37.87076
3402491,144.99032,-37.79958
3402492,144.81054,-37.75832
3402493,145.21187,-38.13921
